TimeFrame,Location Id,Dwelling Type,Number Of Beds,Total Bonds,Active Bonds,Closed Bonds,Geometric Mean Rent,Log Std Dev Weekly Rent,TA2019,WARD2019
2026-04-01,316600,ALL,1,9,24,0,620.0,0.1417,Christchurch City,"['Hornby Ward', 'Harewood Ward']"
2026-04-01,316800,ALL,1,9,39,0,458.0,0.6683,Christchurch City,['Harewood Ward']
2026-04-01,316900,ALL,1,6,12,0,677.0,0.1733,Christchurch City,['Harewood Ward']
2026-04-01,317300,ALL,1,6,18,0,590.0,0.1148,Christchurch City,['Innes Ward']
2026-04-01,317400,ALL,1,6,24,6,598.0,0.129,Christchurch City,['Harewood Ward']
2026-04-01,317700,ALL,1,12,30,3,607.0,0.1153,Christchurch City,['Waimairi Ward']
2026-04-01,317800,ALL,1,15,57,0,552.0,0.5668,Christchurch City,['Harewood Ward']
2026-04-01,317900,ALL,1,6,12,3,638.0,0.164,Christchurch City,"['Papanui Ward', 'Harewood Ward']"
2026-04-01,318000,ALL,1,6,39,0,764.0,0.2576,Christchurch City,['Harewood Ward']
2026-04-01,318100,ALL,1,9,30,0,689.0,0.0377,Christchurch City,['Hornby Ward']
2026-04-01,318300,ALL,1,12,36,0,236.0,0.7844,Christchurch City,['Waimairi Ward']
2026-04-01,318400,ALL,1,6,45,0,443.0,0.7309,Christchurch City,"['Innes Ward', 'Papanui Ward']"
2026-04-01,318800,ALL,1,9,42,6,562.0,0.3549,Christchurch City,['Papanui Ward']
2026-04-01,319000,ALL,1,15,51,3,392.0,0.8351,Christchurch City,['Harewood Ward']
2026-04-01,319200,ALL,1,6,33,0,697.0,0.1911,Christchurch City,['Waimairi Ward']
2026-04-01,319300,ALL,1,9,21,0,610.0,0.0937,Christchurch City,['Hornby Ward']
2026-04-01,319500,ALL,1,9,39,3,529.0,0.4125,Christchurch City,['Waimairi Ward']
2026-04-01,319600,ALL,1,6,24,3,582.0,0.1801,Christchurch City,['Papanui Ward']
2026-04-01,319700,ALL,1,12,114,6,431.0,0.4443,Christchurch City,['Waimairi Ward']
2026-04-01,319800,ALL,1,27,87,0,504.0,0.3996,Christchurch City,['Hornby Ward']
2026-04-01,319900,ALL,1,18,135,9,466.0,0.534,Christchurch City,"['Fendalton Ward', 'Papanui Ward']"
2026-04-01,320100,ALL,1,6,57,0,589.0,0.1075,Christchurch City,['Papanui Ward']
2026-04-01,320200,ALL,1,15,45,6,583.0,0.1551,Christchurch City,"['Waimairi Ward', 'Fendalton Ward']"
2026-04-01,320300,ALL,1,9,36,3,659.0,0.1432,Christchurch City,['Hornby Ward']
